time_s,u1_m,u2_m,u3_m,drift1_m,drift2_m,drift3_m,V1_kN,V2_kN,V3_kN,Vbase_kN,Mb_kNm
6.600000000000000311e-01,-1.430407371597180999e-04,-3.774617753598523287e-04,-7.049646460205195040e-04,-1.430407371597180999e-04,-2.344210382001342288e-04,-3.275028706606671752e-04,-9.154607178221958463e-01,-1.500294644480859141e+00,-1.048009186114134961e+00,-9.154607178221958463e-01,-1.039129364525156873e+01
6.700000000000000400e-01,-7.706097261967259702e-05,-2.772480331655997822e-04,-5.612980004284774628e-04,-7.706097261967259702e-05,-2.001870605459271852e-04,-2.840499672628776806e-04,-4.931902247659046279e-01,-1.281197187493934075e+00,-9.089598952412085708e-01,-4.931902247659046279e-01,-8.050041922503140768e+00
6.800000000000000488e-01,-1.366795329494973699e-05,-1.734532836452657302e-04,-4.108268978131508504e-04,-1.366795329494973699e-05,-1.597853303503159932e-04,-2.373736141678851202e-04,-8.747490108767831674e-02,-1.022626114242022322e+00,-7.595955653372323813e-01,-8.747490108767831674e-02,-5.609089742000799461e+00
6.899999999999999467e-01,4.533796095243082476e-05,-6.809503681712942777e-05,-2.558099291527539398e-04,4.533796095243082476e-05,-1.134329977695602593e-04,-1.877148923356245121e-04,2.901629500955572594e-01,-7.259711857251857081e-01,-6.006876554739983831e-01,2.901629500955572594e-01,-3.109487673310880496e+00
6.999999999999999556e-01,9.930863555295553794e-05,3.745945932034400216e-05,-9.773862296019480056e-05,9.930863555295553794e-05,-6.184917623261153579e-05,-1.351980822805388027e-04,6.355752675389154671e-01,-3.958347278887138221e-01,-4.326338632977241860e-01,6.355752675389154671e-01,-5.786799709425678451e-01
7.099999999999999645e-01,1.481203443650119138e-04,1.419153804779923458e-04,6.205088018793233613e-05,1.481203443650119138e-04,-6.204963887019568011e-06,-7.986450029006000970e-05,9.479702039360762278e-01,-3.971176887692523527e-02,-2.555664009281920501e-01,9.479702039360762278e-01,1.958076102392877438e+00
7.199999999999999734e-01,1.911320599751656205e-04,2.430947505808612856e-04,2.213681554882642171e-04,1.911320599751656205e-04,5.196269060569566503e-05,-2.172659509259706849e-05,1.223245183841060069e+00,3.325612198764522631e-01,-6.952510429631061917e-02,1.223245183841060069e+00,4.458843898263604721e+00
7.299999999999999822e-01,2.278248643689536430e-04,3.386805396213844722e-04,3.778447354473607358e-04,2.278248643689536430e-04,1.108556752524308292e-04,3.916419582597626368e-05,1.458079131961303343e+00,7.094763216155572927e-01,1.253254266431240438e-01,1.458079131961303343e+00,6.878642640659953678e+00
7.399999999999999911e-01,2.593259533025544378e-04,4.278820681398967543e-04,5.305259923316447057e-04,2.593259533025544378e-04,1.685561148373423165e-04,1.026439241917479514e-04,1.659686101136348402e+00,1.078759134958990895e+00,3.284605574135934236e-01,1.659686101136348402e+00,9.200717380526798550e+00
7.500000000000000000e-01,2.881363781791813645e-04,5.113494216282573994e-04,6.797161600786688759e-04,2.881363781791813645e-04,2.232130434490760349e-04,1.683667384504114765e-04,1.844072820346760677e+00,1.428563478074086568e+00,5.387735630413167387e-01,1.844072820346760677e+00,1.143422958438649140e+01
7.600000000000000089e-01,3.161766384508214972e-04,5.894081238470162253e-04,8.251582640700246257e-04,3.161766384508214972e-04,2.732314853961947281e-04,2.357501402230084003e-04,2.023530486085257429e+00,1.748681506535646246e+00,7.544004487136268811e-01,2.023530486085257429e+00,1.357983732400359145e+01
7.700000000000000178e-01,3.439054491203582349e-04,6.613122529552227947e-04,9.652560406747756703e-04,3.439054491203582349e-04,3.174068038348645598e-04,3.039437877195528756e-04,2.200994874370292731e+00,2.031403544543133322e+00,9.726201207025692019e-01,2.200994874370292731e+00,1.561505561884798610e+01
7.800000000000000266e-01,3.711464047276582753e-04,7.261352791670241729e-04,1.097962464805636541e-03,3.711464047276582753e-04,3.549888744393658977e-04,3.718271856386123680e-04,2.375336990257013170e+00,2.271928796411941676e+00,1.189846994043559647e+00,2.375336990257013170e+00,1.751133834213754170e+01
7.900000000000000355e-01,3.975757996688895923e-04,7.832669040544165250e-04,1.221304570929082319e-03,3.975757996688895923e-04,3.856911043855269327e-04,4.380376668746657938e-04,2.544485117880893377e+00,2.468423068067372217e+00,1.401720533998930485e+00,2.544485117880893377e+00,1.924388615984158690e+01
8.000000000000000444e-01,4.222359446511229756e-04,8.318850504444978439e-04,1.332911563505992294e-03,4.222359446511229756e-04,4.096491057933748683e-04,5.010265130614944499e-04,2.702310045767187141e+00,2.621754277077599227e+00,1.603284841796782212e+00,2.702310045767187141e+00,2.078204749392470418e+01
8.100000000000000533e-01,4.437009565454181205e-04,8.710316167473394810e-04,1.430169458013733292e-03,4.437009565454181205e-04,4.273306602019213605e-04,5.591378412663938107e-04,2.839686121890676151e+00,2.734916225292296499e+00,1.789241092052460180e+00,2.839686121890676151e+00,2.209153031770629738e+01
8.199999999999999512e-01,4.611916263714041357e-04,9.006145781639105126e-04,1.511317046767888476e-03,4.611916263714041357e-04,4.394229517925063769e-04,6.107024686039779632e-04,2.951626408776986565e+00,2.812306891472040604e+00,1.954247899532729482e+00,2.951626408776986565e+00,2.315454359934527062e+01
8.299999999999999600e-01,4.748311929589559368e-04,9.215600696865194463e-04,1.575698112252920443e-03,4.748311929589559368e-04,4.467288767275635094e-04,6.541380425664009967e-04,3.038919634937318204e+00,2.859064811056406530e+00,2.093241736212483328e+00,3.038919634937318204e+00,2.397367854661862552e+01
8.399999999999999689e-01,4.846732083583944750e-04,9.347484478420739745e-04,1.622795424835005293e-03,4.846732083583944750e-04,4.500752394836794994e-04,6.880469769929313181e-04,3.101908533493724640e+00,2.880481532695548630e+00,2.201750326377380329e+00,3.101908533493724640e+00,2.455242117769995858e+01
8.499999999999999778e-01,4.903331570589346744e-04,9.405548437119479839e-04,1.651859132944567994e-03,4.903331570589346744e-04,4.502216866530133095e-04,7.113042892326200102e-04,3.138132205177182055e+00,2.881418794579285070e+00,2.276173725544384130e+00,3.138132205177182055e+00,2.488717417590255465e+01
8.599999999999999867e-01,4.917552750613962643e-04,9.395361558803924000e-04,1.662664427614348123e-03,4.917552750613962643e-04,4.477808808189961357e-04,7.231282717339557230e-04,3.147233760392936119e+00,2.865797637241575213e+00,2.314010469548658300e+00,3.147233760392936119e+00,2.498112560154950756e+01
8.699999999999999956e-01,4.893272276147765405e-04,9.324963817994553301e-04,1.655624958409014332e-03,4.893272276147765405e-04,4.431691541846787897e-04,7.231285766095590017e-04,3.131694256734570025e+00,2.836282586781944115e+00,2.314011445150588653e+00,3.131694256734570025e+00,2.484596486600130660e+01
8.800000000000000044e-01,4.827552366091341089e-04,9.193348789800035326e-04,1.630663299032105145e-03,4.827552366091341089e-04,4.365796423708694237e-04,7.113284200521016124e-04,3.089633514298458117e+00,2.794109711173564214e+00,2.276250944166725354e+00,3.089633514298458117e+00,2.447998250891624394e+01
8.900000000000000133e-01,4.706647494311743773e-04,8.986217161376185538e-04,1.586781068174357434e-03,4.706647494311743773e-04,4.279569667064441764e-04,6.881593520367388804e-04,3.012254396359515862e+00,2.738924586921242632e+00,2.202109926517564542e+00,3.012254396359515862e+00,2.385986672939496955e+01
