time_s,D1_m,D2_m,D3_m
8.199999999999999512e-01,1.083843238661132873e-03,-1.822993971899278362e-04,-4.677305914317720693e-05
8.299999999999999600e-01,1.123321555972743579e-03,-2.098096598538353732e-04,-1.552043093251276459e-05
8.399999999999999689e-01,1.151519444910749455e-03,-2.316376307794352270e-04,1.336140413538041007e-05
8.499999999999999778e-01,1.168114075501215134e-03,-2.472850137779775939e-04,3.690236144275075642e-05
8.599999999999999867e-01,1.173157877795784820e-03,-2.562104951239497488e-04,5.305973172534521353e-05
8.699999999999999956e-01,1.167177582607412762e-03,-2.577495449756715120e-04,6.098124710797671766e-05
8.800000000000000044e-01,1.150038985954944352e-03,-2.522544251417716010e-04,5.995788508014709397e-05
8.900000000000000133e-01,1.120525682102511012e-03,-2.414838528074593265e-04,4.907725849997709116e-05
9.000000000000000222e-01,1.077737965675825381e-03,-2.271472533677504715e-04,2.864875677915484616e-05
9.100000000000000311e-01,1.022645967714253326e-03,-2.093124728681129568e-04,1.611065045240547045e-06
9.200000000000000400e-01,9.580415382316084501e-04,-1.864594733580609307e-04,-2.689087262108537754e-05
9.300000000000000488e-01,8.872713648665739349e-04,-1.567827256342696897e-04,-5.128858739952263227e-05
9.399999999999999467e-01,8.129368285413973803e-04,-1.195188171864641709e-04,-6.738022742409967574e-05
9.499999999999999556e-01,7.362763048081833687e-04,-7.555228257966028463e-05,-7.327226518079974914e-05
9.599999999999999645e-01,6.576631967176382269e-04,-2.686183780497117024e-05,-6.899671165422699101e-05
9.699999999999999734e-01,5.777580499474188613e-04,2.470731730479716203e-05,-5.532684142153824417e-05
9.799999999999999822e-01,4.976968324880865499e-04,7.770306034894236687e-05,-3.348235044527619409e-05
9.899999999999999911e-01,4.178712285682851732e-04,1.299214543188109705e-04,-6.149966366107672027e-06
1.000000000000000000e+00,3.373124147126762944e-04,1.778920018776881061e-04,2.224763127612117884e-05
1.010000000000000009e+00,2.550306413602902375e-04,2.183357042902121445e-04,4.733010513411682152e-05
