T_s,Sd_m,Sa_pseudo_m_per_s2,Sa_pseudo_g,Sa_actual_m_per_s2,Sa_actual_g
1.060000000000000275e+00,1.468032569077760696e-01,5.158028018765530298e+00,5.259724797729633528e-01,5.181772373459021530e+00,5.283937301177284995e-01
1.070000000000000284e+00,1.534788661514278341e-01,5.292255019101531843e+00,5.396598246191647297e-01,5.315690680490520847e+00,5.420495970071860237e-01
1.080000000000000293e+00,1.603787802658291350e-01,5.428241137012926210e+00,5.535265495365824240e-01,5.451735446458361167e+00,5.559223023620055715e-01
1.090000000000000302e+00,1.664794520242054154e-01,5.531811572726341275e+00,5.640877947847982021e-01,5.557009246750235221e+00,5.666572424579480183e-01
1.100000000000000311e+00,1.713998419071115775e-01,5.592226889363463904e+00,5.702484425735051543e-01,5.616759415498354890e+00,5.727500640380104313e-01
1.110000000000000320e+00,1.750581692947375811e-01,5.609138472909624085e+00,5.719729441664201941e-01,5.632223012793502903e+00,5.743269121252928544e-01
1.120000000000000329e+00,1.779470079730979259e-01,5.600339837538166776e+00,5.710757330523845710e-01,5.625863334609432442e+00,5.736784054299309821e-01
1.130000000000000338e+00,1.809501634338786524e-01,5.594507101276048111e+00,5.704809594791339089e-01,5.619398152979536931e+00,5.730191403771458525e-01
1.140000000000000346e+00,1.847952046695703898e-01,5.613590536494303507e+00,5.724269283082707993e-01,5.638461722954557942e+00,5.749630835152226283e-01
1.150000000000000355e+00,1.901322524508329559e-01,5.675705453543358203e+00,5.787608871065408334e-01,5.700959018349169405e+00,5.813360340533382242e-01
1.160000000000000364e+00,1.972078358392180264e-01,5.785860061022747303e+00,5.899935310246361420e-01,5.811487043602079794e+00,5.926067559872209012e-01
1.170000000000000151e+00,2.057828496278240882e-01,5.934678408519196147e+00,6.051687791977072850e-01,5.960423729621494360e+00,6.077940713313410015e-01
1.180000000000000160e+00,2.152793140968159158e-01,6.103768072029394531e+00,6.224111263305405206e-01,6.131152478600514044e+00,6.252035586668754918e-01
1.190000000000000169e+00,2.248937076989549200e-01,6.269647418354376001e+00,6.393261122151169262e-01,6.297605146393934206e+00,6.421770070711134704e-01
1.200000000000000178e+00,2.339162573437515158e-01,6.412947008239556546e+00,6.539386037270176200e-01,6.441414874921528977e+00,6.568415182474677261e-01
1.210000000000000187e+00,2.416714712832699063e-01,6.516499737982652363e+00,6.644980434687332016e-01,6.545357095080411192e+00,6.674406749583611242e-01
1.220000000000000195e+00,2.475169583596237288e-01,6.565155768799765923e+00,6.694595778170696621e-01,6.594636202737794939e+00,6.724657454622929853e-01
1.230000000000000204e+00,2.509674702629018372e-01,6.548878707216597483e+00,6.677997794574699331e-01,6.579066773643583055e+00,6.708781055348751465e-01
1.240000000000000213e+00,2.519030719758681980e-01,6.467699448025383546e+00,6.595217987819881333e-01,6.499622335698088449e+00,6.627770273944811885e-01
1.250000000000000222e+00,2.500733844242870596e-01,6.318400961303689556e+00,6.442975900336700423e-01,6.350655168091734915e+00,6.475866037935212871e-01
1.260000000000000231e+00,2.500808027572383740e-01,6.218691336661120950e+00,6.341300379498728823e-01,6.244727975223350214e+00,6.367850361972080542e-01
1.270000000000000240e+00,2.554974674545411051e-01,6.253726652009482301e+00,6.377026458586247948e-01,6.279848867866888007e+00,6.403663705614953683e-01
1.280000000000000249e+00,2.594244267351267230e-01,6.251016757458715212e+00,6.374263135177370421e-01,6.278065783062399596e+00,6.401845465130702184e-01
1.290000000000000258e+00,2.620638350030214392e-01,6.217093634546420944e+00,6.339671176748860049e-01,6.245832344510341194e+00,6.368976505239140051e-01
